"Date","WaterTemp","Salinity","Location"
2021-10-10 06:54:00,16.28,32.12,"FortPoint"
2021-10-10 07:00:00,16.24,32.13,"FortPoint"
2021-10-10 07:06:00,16.27,32.12,"FortPoint"
2021-10-10 07:12:00,16.29,32.12,"FortPoint"
2021-10-10 07:18:00,16.3,32.11,"FortPoint"
2021-10-10 07:24:00,16.31,32.12,"FortPoint"
2021-10-10 07:30:00,16.32,32.12,"FortPoint"
2021-10-10 07:36:00,16.36,32.12,"FortPoint"
2021-10-10 07:42:00,16.38,32.11,"FortPoint"
2021-10-10 07:48:00,16.4,32.11,"FortPoint"
2021-10-10 07:54:00,16.4,32.11,"FortPoint"
2021-10-10 08:00:00,16.42,32.11,"FortPoint"
2021-10-10 08:06:00,16.43,32.1,"FortPoint"
2021-10-10 08:12:00,16.43,32.1,"FortPoint"
2021-10-10 08:18:00,16.45,32.1,"FortPoint"
2021-10-10 08:24:00,16.44,32.1,"FortPoint"
2021-10-10 08:30:00,16.45,32.1,"FortPoint"
2021-10-10 08:36:00,16.45,32.1,"FortPoint"
2021-10-10 08:42:00,16.43,32.1,"FortPoint"
2021-10-10 08:48:00,16.41,32.1,"FortPoint"
2021-10-10 08:54:00,16.38,32.1,"FortPoint"
2021-10-10 09:00:00,16.39,32.1,"FortPoint"
2021-10-10 09:06:00,16.4,32.1,"FortPoint"
2021-10-10 09:12:00,16.38,32.1,"FortPoint"
2021-10-10 09:18:00,16.35,32.1,"FortPoint"
2021-10-10 09:24:00,16.3,32.11,"FortPoint"
2021-10-10 09:30:00,16.28,32.12,"FortPoint"
2021-10-10 09:36:00,16.26,32.13,"FortPoint"
2021-10-10 09:42:00,16.25,32.13,"FortPoint"
2021-10-10 09:48:00,16.24,32.13,"FortPoint"
2021-10-10 09:54:00,16.25,32.13,"FortPoint"
2021-10-10 10:00:00,16.25,32.13,"FortPoint"
2021-10-10 10:06:00,16.25,32.13,"FortPoint"
2021-10-10 10:12:00,16.24,32.13,"FortPoint"
2021-10-10 10:18:00,16.23,32.14,"FortPoint"
2021-10-10 10:24:00,16.21,32.14,"FortPoint"
2021-10-10 10:30:00,16.16,32.15,"FortPoint"
2021-10-10 10:36:00,16.13,32.15,"FortPoint"
2021-10-10 10:42:00,16.11,32.16,"FortPoint"
2021-10-10 10:48:00,16.09,32.17,"FortPoint"
2021-10-10 10:54:00,16.06,32.18,"FortPoint"
2021-10-10 11:00:00,16.04,32.19,"FortPoint"
2021-10-10 11:06:00,16.03,32.19,"FortPoint"
2021-10-10 11:12:00,16.03,32.19,"FortPoint"
2021-10-10 11:18:00,16.01,32.2,"FortPoint"
2021-10-10 11:24:00,15.98,32.21,"FortPoint"
2021-10-10 11:30:00,15.97,32.21,"FortPoint"
2021-10-10 11:36:00,15.94,32.22,"FortPoint"
2021-10-10 11:42:00,15.91,32.23,"FortPoint"
2021-10-10 11:48:00,15.9,32.24,"FortPoint"
2021-10-10 11:54:00,15.88,32.24,"FortPoint"
2021-10-11 12:00:00,15.86,32.25,"FortPoint"
2021-10-11 12:06:00,15.86,32.24,"FortPoint"
2021-10-11 12:12:00,15.87,32.24,"FortPoint"
2021-10-11 12:18:00,15.88,32.24,"FortPoint"
2021-10-11 12:24:00,15.88,32.24,"FortPoint"
2021-10-11 12:30:00,15.86,32.24,"FortPoint"
2021-10-11 12:36:00,15.86,32.24,"FortPoint"
2021-10-11 12:42:00,15.85,32.24,"FortPoint"
2021-10-11 12:48:00,15.83,32.25,"FortPoint"
2021-10-11 12:54:00,15.81,32.25,"FortPoint"
2021-10-11 01:00:00,15.81,32.25,"FortPoint"
2021-10-11 01:06:00,15.8,32.25,"FortPoint"
2021-10-11 01:12:00,15.8,32.26,"FortPoint"
2021-10-11 01:18:00,15.79,32.26,"FortPoint"
2021-10-11 01:24:00,15.78,32.26,"FortPoint"
2021-10-11 01:30:00,15.78,32.26,"FortPoint"
2021-10-11 01:36:00,15.77,32.26,"FortPoint"
2021-10-11 01:42:00,15.77,32.26,"FortPoint"
2021-10-11 01:48:00,15.77,32.26,"FortPoint"
2021-10-11 01:54:00,15.76,32.26,"FortPoint"
2021-10-11 02:00:00,15.76,32.26,"FortPoint"
2021-10-11 02:06:00,15.75,32.26,"FortPoint"
2021-10-11 02:12:00,15.74,32.26,"FortPoint"
2021-10-11 02:18:00,15.74,32.26,"FortPoint"
2021-10-11 02:24:00,15.74,32.26,"FortPoint"
2021-10-11 02:30:00,15.73,32.26,"FortPoint"
2021-10-11 02:36:00,15.73,32.26,"FortPoint"
2021-10-11 02:42:00,15.73,32.26,"FortPoint"
2021-10-11 02:48:00,15.73,32.26,"FortPoint"
2021-10-11 02:54:00,15.73,32.26,"FortPoint"
2021-10-11 03:00:00,15.73,32.26,"FortPoint"
2021-10-11 03:06:00,15.72,32.26,"FortPoint"
2021-10-11 03:12:00,15.72,32.26,"FortPoint"
2021-10-11 03:18:00,15.72,32.26,"FortPoint"
2021-10-11 03:24:00,15.71,32.26,"FortPoint"
2021-10-11 03:30:00,15.7,32.26,"FortPoint"
2021-10-11 03:36:00,15.7,32.26,"FortPoint"
2021-10-11 03:42:00,15.66,32.26,"FortPoint"
2021-10-11 03:48:00,15.66,32.26,"FortPoint"
2021-10-11 03:54:00,15.66,32.26,"FortPoint"
2021-10-11 04:00:00,15.66,32.25,"FortPoint"
2021-10-11 04:06:00,15.64,32.25,"FortPoint"
2021-10-11 04:12:00,15.64,32.25,"FortPoint"
2021-10-11 04:18:00,15.64,32.25,"FortPoint"
2021-10-11 04:24:00,15.64,32.25,"FortPoint"
2021-10-11 04:30:00,15.63,32.26,"FortPoint"
2021-10-11 04:36:00,15.59,32.25,"FortPoint"
2021-10-11 04:42:00,15.62,32.25,"FortPoint"
2021-10-11 04:48:00,15.66,32.24,"FortPoint"
2021-10-11 04:54:00,15.69,32.24,"FortPoint"
2021-10-11 05:00:00,15.74,32.24,"FortPoint"
2021-10-11 05:06:00,15.96,32.16,"FortPoint"
2021-10-11 05:12:00,16.1,32.12,"FortPoint"
2021-10-11 05:18:00,16.24,32.09,"FortPoint"
2021-10-11 05:24:00,16.13,32.12,"FortPoint"
2021-10-11 05:30:00,16.2,32.1,"FortPoint"
2021-10-11 05:36:00,16.43,32.04,"FortPoint"
2021-10-11 05:42:00,16.55,32.02,"FortPoint"
2021-10-11 05:48:00,16.35,32.07,"FortPoint"
2021-10-11 05:54:00,15.98,32.14,"FortPoint"
2021-10-11 06:00:00,16.49,32.02,"FortPoint"
2021-10-11 06:06:00,16.45,32.02,"FortPoint"
2021-10-11 06:12:00,16.72,31.96,"FortPoint"
2021-10-11 06:18:00,16.62,31.98,"FortPoint"
2021-10-11 06:24:00,16.69,31.96,"FortPoint"
2021-10-11 06:30:00,16.73,31.95,"FortPoint"
2021-10-11 06:36:00,16.78,31.94,"FortPoint"
2021-10-11 06:42:00,16.88,31.92,"FortPoint"
2021-10-11 06:48:00,16.85,31.92,"FortPoint"
2021-10-11 06:54:00,16.85,31.92,"FortPoint"
2021-10-11 07:00:00,16.87,31.91,"FortPoint"
2021-10-11 07:06:00,16.89,31.9,"FortPoint"
2021-10-11 07:12:00,16.83,31.91,"FortPoint"
2021-10-11 07:18:00,16.77,31.92,"FortPoint"
2021-10-11 07:24:00,16.77,31.92,"FortPoint"
2021-10-11 07:30:00,16.74,31.92,"FortPoint"
2021-10-11 07:36:00,16.74,31.92,"FortPoint"
2021-10-11 07:42:00,16.77,31.91,"FortPoint"
2021-10-11 07:48:00,16.95,31.89,"FortPoint"
2021-10-11 07:54:00,16.9,31.9,"FortPoint"
2021-10-11 08:00:00,17.05,31.87,"FortPoint"
2021-10-11 08:06:00,16.73,31.92,"FortPoint"
2021-10-11 08:12:00,16.69,31.92,"FortPoint"
2021-10-11 08:18:00,16.83,31.9,"FortPoint"
2021-10-11 08:24:00,16.78,31.91,"FortPoint"
2021-10-11 08:30:00,16.9,31.89,"FortPoint"
2021-10-11 08:36:00,16.97,31.88,"FortPoint"
2021-10-11 08:42:00,17.02,31.87,"FortPoint"
2021-10-11 08:48:00,17.03,31.87,"FortPoint"
2021-10-11 08:54:00,17.03,31.87,"FortPoint"
2021-10-11 09:00:00,17.08,31.86,"FortPoint"
2021-10-11 09:06:00,17.1,31.86,"FortPoint"
2021-10-11 09:12:00,17.09,31.86,"FortPoint"
2021-10-11 09:18:00,17.11,31.86,"FortPoint"
2021-10-11 09:24:00,17.15,31.85,"FortPoint"
2021-10-11 09:30:00,17.16,31.84,"FortPoint"
2021-10-11 09:36:00,17.17,31.84,"FortPoint"
2021-10-11 09:42:00,17.16,31.83,"FortPoint"
2021-10-11 09:48:00,17.15,31.83,"FortPoint"
2021-10-11 09:54:00,17.13,31.83,"FortPoint"
2021-10-11 10:00:00,17.1,31.83,"FortPoint"
2021-10-11 10:06:00,17.11,31.83,"FortPoint"
2021-10-11 10:12:00,17.05,31.84,"FortPoint"
2021-10-11 10:18:00,16.97,31.85,"FortPoint"
2021-10-11 10:24:00,16.86,31.87,"FortPoint"
2021-10-11 10:30:00,16.76,31.87,"FortPoint"
2021-10-11 10:36:00,16.71,31.88,"FortPoint"
2021-10-11 10:42:00,16.71,31.88,"FortPoint"
2021-10-11 10:48:00,16.7,31.87,"FortPoint"
2021-10-11 10:54:00,16.7,31.87,"FortPoint"
2021-10-11 11:00:00,16.68,31.88,"FortPoint"
2021-10-11 11:06:00,16.65,31.88,"FortPoint"
2021-10-11 11:12:00,16.62,31.89,"FortPoint"
2021-10-11 11:18:00,16.61,31.89,"FortPoint"
2021-10-11 11:24:00,16.54,31.9,"FortPoint"
2021-10-11 11:30:00,16.49,31.91,"FortPoint"
2021-10-11 11:36:00,16.46,31.92,"FortPoint"
2021-10-11 11:42:00,16.44,31.93,"FortPoint"
2021-10-11 11:48:00,16.43,31.93,"FortPoint"
2021-10-11 11:54:00,16.42,31.94,"FortPoint"
2021-10-11 12:00:00,16.42,31.94,"FortPoint"
2021-10-11 12:06:00,16.4,31.95,"FortPoint"
2021-10-11 12:12:00,16.37,31.97,"FortPoint"
2021-10-11 12:18:00,16.35,31.97,"FortPoint"
2021-10-11 12:24:00,16.35,31.96,"FortPoint"
2021-10-11 12:30:00,16.34,31.95,"FortPoint"
2021-10-11 12:36:00,16.33,31.95,"FortPoint"
2021-10-11 12:42:00,16.33,31.96,"FortPoint"
2021-10-11 12:48:00,16.31,31.96,"FortPoint"
2021-10-11 12:54:00,16.3,31.96,"FortPoint"
2021-10-11 01:00:00,16.28,31.96,"FortPoint"
2021-10-11 01:06:00,16.27,31.96,"FortPoint"
2021-10-11 01:12:00,16.27,31.96,"FortPoint"
2021-10-11 01:18:00,16.26,31.96,"FortPoint"
2021-10-11 01:24:00,16.26,31.96,"FortPoint"
2021-10-11 01:30:00,16.26,31.96,"FortPoint"
2021-10-11 01:36:00,16.25,31.97,"FortPoint"
2021-10-11 01:42:00,16.24,31.97,"FortPoint"
2021-10-11 01:48:00,16.25,31.97,"FortPoint"
2021-10-11 01:54:00,16.23,31.97,"FortPoint"
2021-10-11 02:00:00,16.22,31.97,"FortPoint"
2021-10-11 02:06:00,16.2,31.97,"FortPoint"
2021-10-11 02:12:00,16.22,31.97,"FortPoint"
2021-10-11 02:18:00,16.23,31.97,"FortPoint"
2021-10-11 02:24:00,16.22,31.97,"FortPoint"
2021-10-11 02:30:00,16.22,31.97,"FortPoint"
2021-10-11 02:36:00,16.21,31.97,"FortPoint"
2021-10-11 02:42:00,16.2,31.97,"FortPoint"
2021-10-11 02:48:00,16.2,31.97,"FortPoint"
2021-10-11 02:54:00,16.18,31.97,"FortPoint"
2021-10-11 03:00:00,16.17,31.97,"FortPoint"
2021-10-11 03:06:00,16.17,31.97,"FortPoint"
2021-10-11 03:12:00,16.16,31.97,"FortPoint"
2021-10-11 03:18:00,16.15,31.97,"FortPoint"
2021-10-11 03:24:00,16.1,31.97,"FortPoint"
2021-10-11 03:30:00,15.85,31.96,"FortPoint"
2021-10-11 03:36:00,15.86,31.94,"FortPoint"
2021-10-11 03:42:00,15.91,31.93,"FortPoint"
2021-10-11 03:48:00,15.96,31.94,"FortPoint"
2021-10-11 03:54:00,16.01,31.95,"FortPoint"
2021-10-11 04:00:00,16.04,31.96,"FortPoint"
2021-10-11 04:06:00,16.02,31.96,"FortPoint"
2021-10-11 04:12:00,16.02,31.95,"FortPoint"
2021-10-11 04:18:00,16.04,31.97,"FortPoint"
2021-10-11 04:24:00,16.1,31.98,"FortPoint"
2021-10-11 04:30:00,16.06,31.97,"FortPoint"
2021-10-11 04:36:00,16.05,31.97,"FortPoint"
2021-10-11 04:42:00,16.09,31.98,"FortPoint"
2021-10-11 04:48:00,16.11,31.98,"FortPoint"
2021-10-11 04:54:00,16.12,31.98,"FortPoint"
2021-10-11 05:00:00,16.11,31.98,"FortPoint"
2021-10-11 05:06:00,16.07,31.98,"FortPoint"
2021-10-11 05:12:00,16.1,31.98,"FortPoint"
2021-10-11 05:18:00,16.13,31.99,"FortPoint"
2021-10-11 05:24:00,16.14,31.99,"FortPoint"
2021-10-11 05:30:00,16.13,31.99,"FortPoint"
2021-10-11 05:36:00,16.14,31.99,"FortPoint"
2021-10-11 05:42:00,16.15,31.99,"FortPoint"
2021-10-11 05:48:00,16.14,31.99,"FortPoint"
2021-10-11 05:54:00,16.12,31.98,"FortPoint"
2021-10-11 06:00:00,16.13,31.99,"FortPoint"
2021-10-11 06:06:00,16.15,32,"FortPoint"
2021-10-11 06:12:00,16.15,32,"FortPoint"
