Band ID,Sex,Drought survival,Body mass (g),Wing length (mm),Tarsus length (mm),Beak length (mm),Beak depth (mm),Beak width (mm)
1659,male,survivor,17.74,71.01,19.16,11.83,10.78,9.34
2244,male,survivor,18.87,71.95,20.16,12.43,11.01,9.77
2249,male,survivor,18.44,74.01,20.06,12.73,10.68,9.74
2940,female,survivor,15.14,70.01,17.86,10.33,8.78,8.14
3642,male,survivor,17.84,71.01,19.16,11.03,10.28,9.04
8191,male,survivor,19.63,70.41,20.81,12.53,10.86,9.62
1019,male,survivor,20.82,70.45,19.86,12.13,11.21,9.87
1372,female,survivor,16.64,69.01,18.16,10.43,9.48,8.54
1797,male,survivor,16.67,69.45,19.21,10.53,9.31,8.37
2378,male,survivor,18.07,70.95,21.06,11.23,9.86,8.67
8190,unknown,survivor,15.6,69.47,18.36,11.23,9.28,8.24
316,male,survivor,17.55,67.5,19.55,10.9,9.85,9.2
710,male,survivor,15,69,19,10.5,10,8.7
